"Stem", "Frequency", "Rank", "Probability"
"cnn", 2260, 1, 0.0414626
"video", 877, 2, 0.0160897
"ad", 770, 3, 0.0141266
"sign", 565, 4, 0.0103656
"account", 562, 5, 0.0103106
"feedback", 403, 6, 0.00739355
"tv", 377, 7, 0.00691654
"us", 337, 8, 0.00618269
"market", 332, 9, 0.00609096
"newslett", 330, 10, 0.00605427
"life", 311, 11, 0.00570569
"war", 309, 12, 0.005669
"follow", 308, 13, 0.00565065
"thing", 302, 14, 0.00554057
"live", 299, 15, 0.00548553
"watch", 289, 16, 0.00530207
"subscrib", 280, 17, 0.00513696
"listen", 277, 18, 0.00508192
"load", 263, 19, 0.00482507
"polit", 253, 20, 0.00464161
"work", 227, 21, 0.0041646
"trump", 226, 22, 0.00414626
"tech", 224, 23, 0.00410956
"health", 222, 24, 0.00407287
"food", 222, 25, 0.00407287
"5", 216, 26, 0.00396279
"travel", 206, 27, 0.00377933
"news", 200, 28, 0.00366925
"imag", 199, 29, 0.00365091
"photo", 198, 30, 0.00363256
"content", 196, 31, 0.00359587
"fashion", 194, 32, 0.00355918
"set", 193, 33, 0.00354083
"show", 193, 34, 0.00354083
"beauti", 192, 35, 0.00352248
"fit", 192, 36, 0.00352248
"climat", 187, 37, 0.00343075
"weather", 186, 38, 0.00341241
"topic", 183, 39, 0.00335737
"busi", 183, 40, 0.00335737
"footbal", 181, 41, 0.00332067
"innov", 180, 42, 0.00330233
"world", 178, 43, 0.00326564
"crossword", 176, 44, 0.00322894
"said", 163, 45, 0.00299044
"one", 161, 46, 0.00295375
"first", 159, 47, 0.00291706
"fear", 157, 48, 0.00288036
"china", 154, 49, 0.00282533
"2024", 154, 50, 0.00282533
