"Stem", "Frequency", "Rank", "Probability"
"CNN", 4352, 1, 0.0406843
"’", 1596, 2, 0.0149201
"Video", 1548, 3, 0.0144713
"Sign", 1070, 4, 0.0100028
"Ad", 1002, 5, 0.00936711
"&", 924, 6, 0.00863794
"TV", 724, 7, 0.00676825
"account", 706, 8, 0.00659998
"Life", 610, 9, 0.00570253
"Newsletters", 608, 10, 0.00568384
"Feedback", 582, 11, 0.00544078
"Follow", 566, 12, 0.0052912
"War", 560, 13, 0.00523511
"US", 552, 14, 0.00516033
"Watch", 530, 15, 0.00495466
"Live", 528, 16, 0.00493596
"Listen", 522, 17, 0.00487987
"Subscribe", 512, 18, 0.00478639
"Images", 452, 19, 0.00422548
"Food", 430, 20, 0.00401982
"Videos", 418, 21, 0.00390764
"5", 406, 22, 0.00379546
"Tech", 392, 23, 0.00366458
"Travel", 390, 24, 0.00364588
"Health", 388, 25, 0.00362719
"Markets", 386, 26, 0.00360849
"Fitness", 382, 27, 0.00357109
"Weather", 378, 28, 0.0035337
"Beauty", 364, 29, 0.00340282
"Fashion", 362, 30, 0.00338413
"Things", 362, 31, 0.00338413
"Climate", 360, 32, 0.00336543
"Football", 346, 33, 0.00323455
"Settings", 344, 34, 0.00321585
"Topics", 344, 35, 0.00321585
"Account", 344, 36, 0.00321585
"Work", 342, 37, 0.00319716
"News", 342, 38, 0.00319716
"Crossword", 340, 39, 0.00317846
"2025", 338, 40, 0.00315976
"ad", 332, 41, 0.00310367
"•", 332, 42, 0.00310367
"“", 328, 43, 0.00306628
"”", 322, 44, 0.00301019
"‘", 320, 45, 0.00299149
"Trump", 316, 46, 0.0029541
"Dr.", 298, 47, 0.00278583
"World", 278, 48, 0.00259886
"China", 276, 49, 0.00258016
"Audio", 270, 50, 0.00252407

"Total World Count", "Unique World Count", "Expected"
1, 1, 55
2, 2, 77.7817
3, 3, 95.2628
5, 4, 122.984
6, 5, 134.722
8, 6, 155.563
9, 7, 165
10, 8, 173.925
11, 9, 182.414
12, 10, 190.526
13, 11, 198.305
14, 12, 205.791
15, 13, 213.014
16, 14, 220
17, 15, 226.771
18, 16, 233.345
19, 17, 239.739
20, 18, 245.967
21, 19, 252.042
24, 20, 269.444
25, 21, 275
26, 22, 280.446
27, 23, 285.788
28, 24, 291.033
29, 25, 296.184
32, 26, 311.127
34, 27, 320.702
36, 28, 330
42, 29, 356.441
43, 30, 360.659
45, 31, 368.951
46, 32, 373.028
47, 33, 377.061
51, 34, 392.779
52, 35, 396.611
53, 36, 400.406
54, 37, 404.166
55, 38, 407.891
57, 39, 415.241
58, 40, 418.868
59, 41, 422.463
60, 42, 426.028
61, 43, 429.564
62, 44, 433.07
64, 45, 440
65, 46, 443.424
66, 47, 446.822
68, 48, 453.542
70, 49, 460.163
71, 50, 463.438
72, 51, 466.69
73, 52, 469.92
74, 53, 473.128
75, 54, 476.314
76, 55, 479.479
77, 56, 482.623
78, 57, 485.747
79, 58, 488.851
80, 59, 491.935
81, 60, 495
82, 61, 498.046
83, 62, 501.074
84, 63, 504.083
85, 64, 507.075
87, 65, 513.006
88, 66, 515.946
107, 67, 568.924
108, 68, 571.577
109, 69, 574.217
110, 70, 576.845
111, 71, 579.461
112, 72, 582.065
113, 73, 584.658
114, 74, 587.239
115, 75, 589.809
116, 76, 592.368
117, 77, 594.916
120, 78, 602.495
140, 79, 650.769
142, 80, 655.401
143, 81, 657.704
144, 82, 660
151, 83, 675.851
152, 84, 678.086
154, 85, 682.532
155, 86, 684.744
156, 87, 686.95
157, 88, 689.148
158, 89, 691.339
159, 90, 693.524
160, 91, 695.701
161, 92, 697.872
162, 93, 700.036
163, 94, 702.193
164, 95, 704.344
166, 96, 708.625
167, 97, 710.757
168, 98, 712.881
169, 99, 715
170, 100, 717.112
171, 101, 719.218
173, 102, 723.412
174, 103, 725.5
175, 104, 727.582
177, 105, 731.727
178, 106, 733.792
179, 107, 735.85
180, 108, 737.902
181, 109, 739.949
182, 110, 741.991
183, 111, 744.026
185, 112, 748.081
187, 113, 752.114
188, 114, 754.122
189, 115, 756.125
190, 116, 758.123
191, 117, 760.115
192, 118, 762.102
193, 119, 764.084
195, 120, 768.033
196, 121, 770
197, 122, 771.962
199, 123, 775.87
200, 124, 777.817
201, 125, 779.76
202, 126, 781.697
203, 127, 783.629
204, 128, 785.557
205, 129, 787.48
206, 130, 789.399
207, 131, 791.312
209, 132, 795.126
210, 133, 797.026
211, 134, 798.921
212, 135, 800.812
213, 136, 802.699
214, 137, 804.581
217, 138, 810.201
220, 139, 815.782
221, 140, 817.634
224, 141, 823.165
225, 142, 825
226, 143, 826.831
228, 144, 830.482
229, 145, 832.301
230, 146, 834.116
231, 147, 835.928
232, 148, 837.735
234, 149, 841.338
236, 150, 844.926
238, 151, 848.499
251, 152, 871.364
253, 153, 874.829
254, 154, 876.556
255, 155, 878.28
256, 156, 880
258, 157, 883.431
261, 158, 888.552
262, 159, 890.253
265, 160, 895.335
266, 161, 897.023
267, 162, 898.707
269, 163, 902.067
270, 164, 903.742
271, 165, 905.414
272, 166, 907.083
273, 167, 908.749
274, 168, 910.412
275, 169, 912.072
276, 170, 913.729
277, 171, 915.382
280, 172, 920.326
281, 173, 921.968
282, 174, 923.607
283, 175, 925.243
284, 176, 926.876
285, 177, 928.507
288, 178, 933.381
291, 179, 938.23
297, 180, 947.853
298, 181, 949.447
299, 182, 951.039
300, 183, 952.628
302, 184, 955.798
303, 185, 957.379
306, 186, 962.107
307, 187, 963.678
309, 188, 966.812
310, 189, 968.375
311, 190, 969.936
312, 191, 971.494
315, 192, 976.153
318, 193, 980.79
319, 194, 982.331
321, 195, 985.406
323, 196, 988.471
331, 197, 1000.64
332, 198, 1002.15
333, 199, 1003.66
334, 200, 1005.16
335, 201, 1006.67
336, 202, 1008.17
337, 203, 1009.67
338, 204, 1011.16
339, 205, 1012.66
340, 206, 1014.15
341, 207, 1015.64
342, 208, 1017.13
343, 209, 1018.61
344, 210, 1020.1
345, 211, 1021.58
346, 212, 1023.06
347, 213, 1024.54
348, 214, 1026.01
349, 215, 1027.48
350, 216, 1028.96
351, 217, 1030.42
353, 218, 1033.36
354, 219, 1034.82
355, 220, 1036.28
356, 221, 1037.74
358, 222, 1040.65
359, 223, 1042.1
360, 224, 1043.55
361, 225, 1045
362, 226, 1046.45
363, 227, 1047.89
364, 228, 1049.33
365, 229, 1050.77
366, 230, 1052.21
367, 231, 1053.65
368, 232, 1055.08
369, 233, 1056.52
371, 234, 1059.37
372, 235, 1060.8
373, 236, 1062.23
