"Stem", "Frequency", "Rank", "Probability"
"Germany", 328, 1, 0.0117926
"Deutschland", 313, 2, 0.0112533
"“", 311, 3, 0.0111814
"E", 218, 4, 0.00783778
"–", 168, 5, 0.00604012
"’", 167, 6, 0.00600417
"”", 162, 7, 0.0058244
"„", 156, 8, 0.00560869
"Daten", 138, 9, 0.00496153
"N", 123, 10, 0.00442223
"German", 110, 11, 0.00395484
"skilled", 102, 12, 0.00366722
"H", 97, 13, 0.00348745
"workers", 96, 14, 0.0034515
"X", 93, 15, 0.00334364
"people", 85, 16, 0.00305601
"R", 84, 17, 0.00302006
"work", 81, 18, 0.0029122
"wechseln", 76, 19, 0.00273244
"U", 71, 20, 0.00255267
"L", 68, 21, 0.00244481
"new", 67, 22, 0.00240886
"Deutsche", 64, 23, 0.002301
"Item", 62, 24, 0.00222909
"deutschland.de", 61, 25, 0.00219314
"schließen", 59, 26, 0.00212123
"also", 57, 27, 0.00204933
"C", 55, 28, 0.00197742
"G", 55, 29, 0.00197742
"Sprache", 54, 30, 0.00194147
"öffnen", 53, 31, 0.00190552
"Kultur", 53, 32, 0.00190552
"App", 51, 33, 0.00183361
"Website", 50, 34, 0.00179766
"English", 49, 35, 0.0017617
"Facebook", 49, 36, 0.0017617
"w", 49, 37, 0.0017617
"Verarbeitung", 48, 38, 0.00172575
"Politik", 47, 39, 0.0016898
"Wirtschaft", 46, 40, 0.00165384
"1", 46, 41, 0.00165384
"energy", 46, 42, 0.00165384
"personenbezogenen", 46, 43, 0.00165384
"Startseite", 45, 44, 0.00161789
"Service", 45, 45, 0.00161789
"Federal", 44, 46, 0.00158194
"Umwelt", 44, 47, 0.00158194
"Art", 43, 48, 0.00154598
"YouTube", 43, 49, 0.00154598
"News", 42, 50, 0.00151003

"Total World Count", "Unique World Count", "Expected"
1, 1, 55
2, 2, 77.7817
3, 3, 95.2628
4, 4, 110
5, 5, 122.984
6, 6, 134.722
7, 7, 145.516
8, 8, 155.563
9, 9, 165
10, 10, 173.925
11, 11, 182.414
13, 12, 198.305
14, 13, 205.791
16, 14, 220
17, 15, 226.771
18, 16, 233.345
19, 17, 239.739
20, 18, 245.967
21, 19, 252.042
22, 20, 257.973
23, 21, 263.771
24, 22, 269.444
26, 23, 280.446
27, 24, 285.788
28, 25, 291.033
31, 26, 306.227
32, 27, 311.127
33, 28, 315.951
34, 29, 320.702
35, 30, 325.384
36, 31, 330
37, 32, 334.552
38, 33, 339.043
39, 34, 343.475
40, 35, 347.851
41, 36, 352.172
42, 37, 356.441
46, 38, 373.028
51, 39, 392.779
53, 40, 400.406
54, 41, 404.166
55, 42, 407.891
56, 43, 411.582
57, 44, 415.241
58, 45, 418.868
59, 46, 422.463
60, 47, 426.028
61, 48, 429.564
62, 49, 433.07
63, 50, 436.549
64, 51, 440
65, 52, 443.424
67, 53, 450.194
68, 54, 453.542
74, 55, 473.128
75, 56, 476.314
76, 57, 479.479
78, 58, 485.747
79, 59, 488.851
80, 60, 491.935
81, 61, 495
82, 62, 498.046
83, 63, 501.074
85, 64, 507.075
87, 65, 513.006
88, 66, 515.946
90, 67, 521.776
91, 68, 524.667
92, 69, 527.541
93, 70, 530.401
94, 71, 533.245
95, 72, 536.074
96, 73, 538.888
97, 74, 541.687
99, 75, 547.243
100, 76, 550
101, 77, 552.743
102, 78, 555.473
103, 79, 558.189
104, 80, 560.892
105, 81, 563.582
106, 82, 566.26
109, 83, 574.217
110, 84, 576.845
111, 85, 579.461
113, 86, 584.658
114, 87, 587.239
117, 88, 594.916
118, 89, 597.453
119, 90, 599.979
120, 91, 602.495
121, 92, 605
122, 93, 607.495
123, 94, 609.98
124, 95, 612.454
125, 96, 614.919
127, 97, 619.819
128, 98, 622.254
132, 99, 631.902
133, 100, 634.291
134, 101, 636.671
135, 102, 639.042
136, 103, 641.405
137, 104, 643.758
138, 105, 646.104
139, 106, 648.44
140, 107, 650.769
141, 108, 653.089
142, 109, 655.401
144, 110, 660
145, 111, 662.288
146, 112, 664.568
147, 113, 666.84
149, 114, 671.361
150, 115, 673.61
152, 116, 678.086
153, 117, 680.312
154, 118, 682.532
155, 119, 684.744
156, 120, 686.95
157, 121, 689.148
159, 122, 693.524
160, 123, 695.701
161, 124, 697.872
162, 125, 700.036
163, 126, 702.193
164, 127, 704.344
165, 128, 706.488
166, 129, 708.625
167, 130, 710.757
168, 131, 712.881
170, 132, 717.112
172, 133, 721.318
177, 134, 731.727
178, 135, 733.792
179, 136, 735.85
180, 137, 737.902
181, 138, 739.949
183, 139, 744.026
184, 140, 746.056
185, 141, 748.081
186, 142, 750.1
187, 143, 752.114
190, 144, 758.123
192, 145, 762.102
193, 146, 764.084
194, 147, 766.061
195, 148, 768.033
196, 149, 770
197, 150, 771.962
200, 151, 777.817
201, 152, 779.76
203, 153, 783.629
204, 154, 785.557
205, 155, 787.48
206, 156, 789.399
207, 157, 791.312
208, 158, 793.221
210, 159, 797.026
211, 160, 798.921
212, 161, 800.812
214, 162, 804.581
215, 163, 806.458
216, 164, 808.332
217, 165, 810.201
218, 166, 812.065
220, 167, 815.782
221, 168, 817.634
224, 169, 823.165
227, 170, 828.659
228, 171, 830.482
229, 172, 832.301
231, 173, 835.928
232, 174, 837.735
234, 175, 841.338
235, 176, 843.134
238, 177, 848.499
239, 178, 850.279
240, 179, 852.056
243, 180, 857.365
244, 181, 859.127
245, 182, 860.886
247, 183, 864.393
250, 184, 869.626
251, 185, 871.364
252, 186, 873.098
253, 187, 874.829
257, 188, 881.717
258, 189, 883.431
259, 190, 885.141
260, 191, 886.848
262, 192, 890.253
267, 193, 898.707
268, 194, 900.389
270, 195, 903.742
271, 196, 905.414
273, 197, 908.749
274, 198, 910.412
275, 199, 912.072
276, 200, 913.729
277, 201, 915.382
278, 202, 917.033
279, 203, 918.681
281, 204, 921.968
282, 205, 923.607
283, 206, 925.243
286, 207, 930.134
287, 208, 931.759
289, 209, 935
290, 210, 936.616
291, 211, 938.23
292, 212, 939.84
293, 213, 941.448
294, 214, 943.054
296, 215, 946.256
298, 216, 949.447
299, 217, 951.039
300, 218, 952.628
302, 219, 955.798
303, 220, 957.379
304, 221, 958.958
306, 222, 962.107
308, 223, 965.246
309, 224, 966.812
311, 225, 969.936
313, 226, 973.049
314, 227, 974.602
316, 228, 977.701
317, 229, 979.247
318, 230, 980.79
319, 231, 982.331
320, 232, 983.87
322, 233, 986.94
323, 234, 988.471
325, 235, 991.527
326, 236, 993.051
327, 237, 994.573
328, 238, 996.092
329, 239, 997.61
330, 240, 999.125
