"Stem", "Frequency", "Rank", "Probability"
"’", 7014, 1, 0.0335213
"Figaro", 3312, 2, 0.0158287
"Résultats", 2890, 3, 0.0138119
"2024", 2836, 4, 0.0135538
"législatives", 2580, 5, 0.0123303
"«", 2532, 6, 0.0121009
"»", 2510, 7, 0.0119958
"%", 1764, 8, 0.00843051
"a", 1514, 9, 0.00723571
"Guide", 1076, 10, 0.00514242
"TV", 860, 11, 0.00411011
"voix", 788, 12, 0.00376601
"France", 778, 13, 0.00371822
"plus", 710, 14, 0.00339323
"publicité", 682, 15, 0.00325942
"diffusion", 624, 16, 0.00298222
"Passer", 622, 17, 0.00297266
"voyage", 584, 18, 0.00279105
"minPremière", 576, 19, 0.00275282
"Emploi", 566, 20, 0.00270503
"Achat", 560, 21, 0.00267635
"Bordeaux", 546, 22, 0.00260944
"élections", 540, 23, 0.00258077
"1", 528, 24, 0.00252342
"Paris", 478, 25, 0.00228446
"Marseille", 470, 26, 0.00224622
"Programme", 452, 27, 0.0021602
"ans", 440, 28, 0.00210285
"Nantes", 434, 29, 0.00207417
"Actualité", 414, 30, 0.00197859
"appartement", 378, 31, 0.00180654
"Classement", 364, 32, 0.00173963
"Lyon", 358, 33, 0.00171095
"sans", 358, 34, 0.00171095
"iPhone", 350, 35, 0.00167272
"après", 344, 36, 0.00164405
"jour", 334, 37, 0.00159625
"Trump", 334, 38, 0.00159625
"Ukraine", 316, 39, 0.00151023
"résultats", 314, 40, 0.00150067
"mois", 304, 41, 0.00145288
"entre", 300, 42, 0.00143376
"Nice", 300, 43, 0.00143376
"deux", 292, 44, 0.00139553
"d'achat", 288, 45, 0.00137641
"maison", 286, 46, 0.00136685
"ville", 280, 47, 0.00133818
"Montpellier", 278, 48, 0.00132862
"temps", 278, 49, 0.00132862
"contre", 278, 50, 0.00132862

"Total World Count", "Unique World Count", "Expected"
1, 1, 55
2, 2, 77.7817
3, 3, 95.2628
4, 4, 110
5, 5, 122.984
6, 6, 134.722
7, 7, 145.516
8, 8, 155.563
9, 9, 165
10, 10, 173.925
11, 11, 182.414
12, 12, 190.526
13, 13, 198.305
14, 14, 205.791
15, 15, 213.014
16, 16, 220
17, 17, 226.771
18, 18, 233.345
19, 19, 239.739
20, 20, 245.967
21, 21, 252.042
22, 22, 257.973
23, 23, 263.771
24, 24, 269.444
27, 25, 285.788
29, 26, 296.184
31, 27, 306.227
32, 28, 311.127
34, 29, 320.702
35, 30, 325.384
36, 31, 330
38, 32, 339.043
39, 33, 343.475
40, 34, 347.851
41, 35, 352.172
42, 36, 356.441
43, 37, 360.659
44, 38, 364.829
45, 39, 368.951
46, 40, 373.028
47, 41, 377.061
49, 42, 385
50, 43, 388.909
51, 44, 392.779
52, 45, 396.611
53, 46, 400.406
54, 47, 404.166
55, 48, 407.891
56, 49, 411.582
57, 50, 415.241
58, 51, 418.868
59, 52, 422.463
60, 53, 426.028
61, 54, 429.564
62, 55, 433.07
63, 56, 436.549
64, 57, 440
65, 58, 443.424
66, 59, 446.822
67, 60, 450.194
68, 61, 453.542
75, 62, 476.314
76, 63, 479.479
77, 64, 482.623
78, 65, 485.747
79, 66, 488.851
81, 67, 495
82, 68, 498.046
83, 69, 501.074
84, 70, 504.083
85, 71, 507.075
86, 72, 510.049
87, 73, 513.006
91, 74, 524.667
92, 75, 527.541
93, 76, 530.401
94, 77, 533.245
95, 78, 536.074
96, 79, 538.888
97, 80, 541.687
98, 81, 544.472
99, 82, 547.243
100, 83, 550
101, 84, 552.743
103, 85, 558.189
106, 86, 566.26
109, 87, 574.217
112, 88, 582.065
115, 89, 589.809
117, 90, 594.916
119, 91, 599.979
121, 92, 605
122, 93, 607.495
123, 94, 609.98
124, 95, 612.454
125, 96, 614.919
126, 97, 617.373
127, 98, 619.819
128, 99, 622.254
132, 100, 631.902
133, 101, 634.291
135, 102, 639.042
136, 103, 641.405
137, 104, 643.758
138, 105, 646.104
139, 106, 648.44
140, 107, 650.769
141, 108, 653.089
142, 109, 655.401
143, 110, 657.704
144, 111, 660
147, 112, 666.84
148, 113, 669.104
149, 114, 671.361
150, 115, 673.61
151, 116, 675.851
153, 117, 680.312
155, 118, 684.744
156, 119, 686.95
157, 120, 689.148
158, 121, 691.339
159, 122, 693.524
160, 123, 695.701
161, 124, 697.872
162, 125, 700.036
164, 126, 704.344
166, 127, 708.625
167, 128, 710.757
168, 129, 712.881
170, 130, 717.112
171, 131, 719.218
172, 132, 721.318
173, 133, 723.412
174, 134, 725.5
175, 135, 727.582
176, 136, 729.657
177, 137, 731.727
178, 138, 733.792
179, 139, 735.85
182, 140, 741.991
183, 141, 744.026
185, 142, 748.081
186, 143, 750.1
189, 144, 756.125
190, 145, 758.123
191, 146, 760.115
192, 147, 762.102
193, 148, 764.084
194, 149, 766.061
195, 150, 768.033
197, 151, 771.962
198, 152, 773.919
199, 153, 775.87
201, 154, 779.76
203, 155, 783.629
207, 156, 791.312
208, 157, 793.221
212, 158, 800.812
215, 159, 806.458
216, 160, 808.332
217, 161, 810.201
218, 162, 812.065
219, 163, 813.926
220, 164, 815.782
221, 165, 817.634
222, 166, 819.482
223, 167, 821.325
224, 168, 823.165
225, 169, 825
226, 170, 826.831
228, 171, 830.482
229, 172, 832.301
230, 173, 834.116
231, 174, 835.928
233, 175, 839.539
234, 176, 841.338
236, 177, 844.926
237, 178, 846.714
238, 179, 848.499
240, 180, 852.056
241, 181, 853.83
242, 182, 855.599
243, 183, 857.365
244, 184, 859.127
246, 185, 862.641
247, 186, 864.393
248, 187, 866.141
249, 188, 867.885
251, 189, 871.364
253, 190, 874.829
254, 191, 876.556
257, 192, 881.717
259, 193, 885.141
260, 194, 886.848
263, 195, 891.95
264, 196, 893.644
265, 197, 895.335
266, 198, 897.023
268, 199, 900.389
270, 200, 903.742
271, 201, 905.414
274, 202, 910.412
275, 203, 912.072
277, 204, 915.382
281, 205, 921.968
282, 206, 923.607
283, 207, 925.243
284, 208, 926.876
286, 209, 930.134
291, 210, 938.23
295, 211, 944.656
298, 212, 949.447
299, 213, 951.039
300, 214, 952.628
301, 215, 954.214
302, 216, 955.798
303, 217, 957.379
305, 218, 960.534
306, 219, 962.107
309, 220, 966.812
310, 221, 968.375
311, 222, 969.936
312, 223, 971.494
313, 224, 973.049
315, 225, 976.153
316, 226, 977.701
318, 227, 980.79
319, 228, 982.331
321, 229, 985.406
322, 230, 986.94
324, 231, 990
325, 232, 991.527
327, 233, 994.573
330, 234, 999.125
332, 235, 1002.15
333, 236, 1003.66
334, 237, 1005.16
