"Stem", "Frequency", "Rank", "Probability"
"’", 3446, 1, 0.0489572
"&", 542, 2, 0.00770018
"Podcasts", 474, 3, 0.0067341
"Kick-off", 466, 4, 0.00662045
"%", 414, 5, 0.00588168
"Telegraaf", 412, 6, 0.00585327
"‘", 400, 7, 0.00568279
"aflevering", 380, 8, 0.00539865
"Trump", 380, 9, 0.00539865
"via", 330, 10, 0.0046883
"Apple", 316, 11, 0.0044894
"Driessen", 262, 12, 0.00372223
"nieuwe", 256, 13, 0.00363698
"Verweij", 236, 14, 0.00335284
"laatste", 212, 15, 0.00301188
"vel", 210, 16, 0.00298346
"missen", 208, 17, 0.00295505
"Valentijn", 206, 18, 0.00292664
"weer", 196, 19, 0.00278457
"Mike", 194, 20, 0.00275615
"gaat", 188, 21, 0.00267091
"NL", 188, 22, 0.00267091
"Washington", 188, 23, 0.00267091
"Abonneer", 186, 24, 0.0026425
"voetbalpodcast", 178, 25, 0.00252884
"tijdens", 170, 26, 0.00241518
"Google", 164, 27, 0.00232994
"Nederland", 164, 28, 0.00232994
"Calling", 164, 29, 0.00232994
"onze", 162, 30, 0.00230153
"Pim", 162, 31, 0.00230153
"Sedee", 160, 32, 0.00227311
"Ajax", 158, 33, 0.0022447
"podcast", 156, 34, 0.00221629
"s", 154, 35, 0.00218787
"2", 150, 36, 0.00213105
"Blok", 146, 37, 0.00207422
"jaar", 140, 38, 0.00198898
"Premium", 140, 39, 0.00198898
"Vul", 138, 40, 0.00196056
"e-mailadres", 138, 41, 0.00196056
"nogmaals", 138, 42, 0.00196056
"Amerikaanse", 138, 43, 0.00196056
"aub.Lees", 138, 44, 0.00196056
"Dieuwertje", 136, 45, 0.00193215
"beluisteren", 130, 46, 0.00184691
"Zelenski", 130, 47, 0.00184691
"Donald", 130, 48, 0.00184691
"nieuws", 130, 49, 0.00184691
"Oranje", 124, 50, 0.00176166

"Total World Count", "Unique World Count", "Expected"
1, 1, 55
2, 2, 77.7817
3, 3, 95.2628
4, 4, 110
5, 5, 122.984
6, 6, 134.722
7, 7, 145.516
8, 8, 155.563
9, 9, 165
10, 10, 173.925
11, 11, 182.414
12, 12, 190.526
13, 13, 198.305
14, 14, 205.791
15, 15, 213.014
16, 16, 220
17, 17, 226.771
18, 18, 233.345
19, 19, 239.739
20, 20, 245.967
21, 21, 252.042
22, 22, 257.973
23, 23, 263.771
24, 24, 269.444
25, 25, 275
26, 26, 280.446
27, 27, 285.788
28, 28, 291.033
30, 29, 301.247
31, 30, 306.227
32, 31, 311.127
33, 32, 315.951
34, 33, 320.702
35, 34, 325.384
36, 35, 330
38, 36, 339.043
39, 37, 343.475
40, 38, 347.851
41, 39, 352.172
42, 40, 356.441
44, 41, 364.829
45, 42, 368.951
47, 43, 377.061
48, 44, 381.051
49, 45, 385
50, 46, 388.909
51, 47, 392.779
52, 48, 396.611
53, 49, 400.406
54, 50, 404.166
55, 51, 407.891
56, 52, 411.582
57, 53, 415.241
58, 54, 418.868
59, 55, 422.463
60, 56, 426.028
61, 57, 429.564
62, 58, 433.07
63, 59, 436.549
64, 60, 440
65, 61, 443.424
66, 62, 446.822
67, 63, 450.194
68, 64, 453.542
69, 65, 456.864
70, 66, 460.163
71, 67, 463.438
72, 68, 466.69
73, 69, 469.92
74, 70, 473.128
75, 71, 476.314
76, 72, 479.479
77, 73, 482.623
78, 74, 485.747
79, 75, 488.851
80, 76, 491.935
82, 77, 498.046
83, 78, 501.074
84, 79, 504.083
85, 80, 507.075
86, 81, 510.049
88, 82, 515.946
89, 83, 518.869
90, 84, 521.776
91, 85, 524.667
92, 86, 527.541
94, 87, 533.245
95, 88, 536.074
96, 89, 538.888
97, 90, 541.687
98, 91, 544.472
99, 92, 547.243
100, 93, 550
101, 94, 552.743
102, 95, 555.473
104, 96, 560.892
106, 97, 566.26
108, 98, 571.577
109, 99, 574.217
110, 100, 576.845
111, 101, 579.461
112, 102, 582.065
113, 103, 584.658
114, 104, 587.239
115, 105, 589.809
116, 106, 592.368
117, 107, 594.916
118, 108, 597.453
119, 109, 599.979
120, 110, 602.495
121, 111, 605
123, 112, 609.98
131, 113, 629.504
141, 114, 653.089
152, 115, 678.086
154, 116, 682.532
155, 117, 684.744
156, 118, 686.95
157, 119, 689.148
158, 120, 691.339
159, 121, 693.524
161, 122, 697.872
166, 123, 708.625
167, 124, 710.757
168, 125, 712.881
169, 126, 715
170, 127, 717.112
171, 128, 719.218
172, 129, 721.318
173, 130, 723.412
174, 131, 725.5
175, 132, 727.582
176, 133, 729.657
177, 134, 731.727
178, 135, 733.792
179, 136, 735.85
180, 137, 737.902
182, 138, 741.991
183, 139, 744.026
184, 140, 746.056
185, 141, 748.081
186, 142, 750.1
187, 143, 752.114
188, 144, 754.122
189, 145, 756.125
190, 146, 758.123
191, 147, 760.115
192, 148, 762.102
193, 149, 764.084
194, 150, 766.061
195, 151, 768.033
196, 152, 770
197, 153, 771.962
199, 154, 775.87
207, 155, 791.312
208, 156, 793.221
209, 157, 795.126
210, 158, 797.026
211, 159, 798.921
212, 160, 800.812
213, 161, 802.699
214, 162, 804.581
215, 163, 806.458
216, 164, 808.332
219, 165, 813.926
220, 166, 815.782
221, 167, 817.634
222, 168, 819.482
223, 169, 821.325
225, 170, 825
226, 171, 826.831
230, 172, 834.116
231, 173, 835.928
233, 174, 839.539
234, 175, 841.338
236, 176, 844.926
237, 177, 846.714
238, 178, 848.499
239, 179, 850.279
240, 180, 852.056
241, 181, 853.83
325, 182, 991.527
326, 183, 993.051
327, 184, 994.573
328, 185, 996.092
329, 186, 997.61
339, 187, 1012.66
340, 188, 1014.15
341, 189, 1015.64
342, 190, 1017.13
343, 191, 1018.61
345, 192, 1021.58
347, 193, 1024.54
348, 194, 1026.01
349, 195, 1027.48
350, 196, 1028.96
351, 197, 1030.42
352, 198, 1031.89
353, 199, 1033.36
354, 200, 1034.82
355, 201, 1036.28
356, 202, 1037.74
357, 203, 1039.19
358, 204, 1040.65
359, 205, 1042.1
360, 206, 1043.55
361, 207, 1045
363, 208, 1047.89
364, 209, 1049.33
366, 210, 1052.21
367, 211, 1053.65
369, 212, 1056.52
375, 213, 1065.07
376, 214, 1066.49
377, 215, 1067.91
378, 216, 1069.32
380, 217, 1072.15
382, 218, 1074.97
383, 219, 1076.37
384, 220, 1077.78
385, 221, 1079.18
386, 222, 1080.58
388, 223, 1083.37
389, 224, 1084.77
390, 225, 1086.16
391, 226, 1087.55
392, 227, 1088.94
393, 228, 1090.33
394, 229, 1091.72
395, 230, 1093.1
